Time Sent,Campaign Name,Sends,Opens,Open Rate,Mobile Open Rate,Desktop Open Rate,Clicks,Click Rate,Bounces,Bounce Rate,Unsubscribes,Unsubscribe Rate
12/31/23 14:01,EOY Fundraising Email/ Dec/31/2023,6304,1504,30.90%,1.80%,98.20%,14,0.30%,1444,22.90%,25,0.50%
12/30/23 14:01,EOY Fundraising Email/ Dec/30/2023,6319,1503,30.80%,1.70%,98.30%,16,0.30%,1444,22.90%,22,0.50%
12/29/23 14:02,EOY Fundraising Email/ Dec/29/2023,6336,1548,31.70%,1.30%,98.70%,25,0.50%,1446,22.80%,20,0.40%
12/4/23 11:55,BH/GIVING TUESDAY/ PHASE 4/EMAIL 1,80,43,55.80%,3.10%,96.90%,0,0.00%,3,3.80%,1,1.30%
11/29/23 15:07,BH/GIVING TUESDAY/ PHASE 3 TEMPLATE,2546,596,30.10%,1.20%,98.80%,10,0.50%,566,22.20%,11,0.60%
11/29/23 15:06,BH/GIVING TUESDAY/ PHASE 3/ EMAIL 2,2542,593,30.30%,2.60%,97.40%,11,0.60%,587,23.10%,6,0.30%
11/29/23 15:06,BH/GIVING TUESDAY/ PHASE 3/ EMAIL 3,2538,613,31.00%,1.80%,98.20%,13,0.70%,559,22.00%,8,0.40%
11/29/23 13:06,BH: Giving Tuesday/EOY Fundraising/ PHASE 2/ EMAIL 6,6362,1486,30.10%,1.20%,98.80%,11,0.20%,1431,22.50%,23,0.50%
11/28/23 13:07,BH: Giving Tuesday/EOY Fundraising/ PHASE 2/ EMAIL 5,6389,1540,31.10%,2.00%,98.00%,20,0.40%,1434,22.40%,21,0.40%
11/26/23 13:06,BH: Giving Tuesday/EOY Fundraising/ PHASE 3/ EMAIL 4,6429,1696,33.90%,1.80%,98.20%,13,0.30%,1433,22.30%,33,0.70%
11/24/23 13:05,BHGiving Tuesday/EOY Fundraising/ PHASE 2/ EMAIL 3,6457,1640,32.70%,1.70%,98.30%,13,0.30%,1435,22.20%,25,0.50%
11/22/23 14:07,BH/Giving Tuesday/EOY/PHASE 2 EMAIL 2,6447,1624,32.40%,1.70%,98.30%,9,0.20%,1439,22.30%,19,0.40%
11/18/23 15:34,Giving Tuesday/EOY Fundraising Template,6468,1653,32.90%,1.50%,98.50%,19,0.40%,1445,22.30%,18,0.40%
10/31/23 12:07,October 2023 newsletter,6513,2172,42.70%,2.20%,97.80%,28,0.50%,1421,21.80%,45,0.90%
10/23/23 12:32,October Gala Spotlight: Only 2 Days Left to Register!,6514,1978,38.80%,2.70%,97.30%,58,1.10%,1414,21.70%,34,0.70%
10/18/23 15:50,October Gala Spotlight: Celebrating John Lovelace,6560,2188,42.50%,3.30%,96.70%,63,1.20%,1410,21.50%,52,1.00%
10/10/23 12:16,October Gala Spotlight: Sponsors & Host Committee,6617,2157,41.60%,2.50%,97.50%,55,1.10%,1438,21.70%,55,1.10%
10/1/23 11:16,September 2023 newsletter,6788,2669,49.70%,3.30%,96.70%,57,1.10%,1416,20.90%,150,2.80%
9/30/23 18:23,BH Gala Invitation 2,6644,2085,39.90%,3.60%,96.40%,62,1.20%,1419,21.40%,58,1.10%
9/22/23 12:31,BH Gala Invitation 1,1751,767,51.10%,4.80%,95.20%,29,1.90%,250,14.30%,28,1.90%
8/18/23 14:17,Host Committee Letter #1,949,24,18.60%,13.90%,86.10%,1,0.80%,820,86.40%,1,0.80%
